Objective value: 107.6583

******Calibrated demand*****
ID	 CalibratedValue
QT00034460    0.6555
QT00035438    -0.0658
QT00035440    1.6896
QT00035491    0.4895
QT00035495    0.4871
QT00035522    0.7247
QT00035528    0.5532
QT00035530    0.8983
QT00036932    0.3050
QT00051831    0.3256
QT00051832    2.0075
QT00051839    0.5110
QT00051925    -0.1015
QT00052012    0.3763
QT00052494    0.7237
QT00052510    0.7163
QT00052526    0.7041
QT00052542    0.6088
QT00052546    0.3698
QT00055239    0.4886
QT00055240    0.5581
ST00000001    0.0208
ST00000023    0.9427
ST00000028    0.3494
ST00000029    0.3225
ST00000044    2.2048
ST00000067    1.0365
ST00000078    0.3580
ST00000079    0.4363
ST00000082    0.7818
ST00000090    0.2894
ST00000091    0.3687
ST00000093    0.3454
ST00000094    0.3074
ST00000095    0.3519
ST00000103    0.4018
ST00000104    0.3668
ST00000105    0.4160
ST00000106    0.3159
ST00000107    0.2951
ST00000128    0.4018
ST00000136    0.3515
ST00000153    0.3398
ST00000166    0.3765
ST00000177    0.3248
ST00000180    0.3003
ST00000181    0.3194
ST00000183    0.3618
ST00000199    0.3624
ST00000203    0.3768
ST00000204    0.3646
ST00000205    0.3953
ST00000207    0.3644
ST00000227    0.3013
ST00000239    0.3703
ST00000244    0.3839
ST00000245    0.3886
ST00000251    0.3584
ST00000253    0.3538
ST00000259    0.2961
ST00000265    2.4598
ST00000271    0.3702
ST00000278    0.3222
ST00000293    0.3227
ST00000298    0.3736
ST00000302    0.4172
ST00000315    0.4182
ST00000320    0.3738
ST00000321    0.3627
ST00000324    0.3232
ST00000329    0.3627
ST00000330    0.3184
ST00000353    0.3501
ST00000356    0.4008
ST00000369    0.4075
ST00000370    0.2902
ST00000384    0.4083
ST00000385    0.3735
ST00000386    0.4073
ST00000395    1.3455
ST00000404    0.2856
ST00000426    0.4366
ST00000428    0.4021
ST00000430    2.2964
ST00000436    0.4050
ST00000441    0.3740
ST00000443    0.3215
ST00000460    0.3642
ST00000476    1.9940
ST00000530    0.7400
ST00000536    0.6035
ST00000537    1.1803
ST00000544    0.9487
ST00000548    -0.0440
ST00000549    0.0319
ST00000550    0.8070
ST00000555    1.5775
ST00000565    1.5316
ST00000568    1.9069
ST00000591    0.7707
ST00000592    0.6145
ST00000593    1.1080
ST00000594    1.5659
ST00000599    0.8946
ST00000607    1.0740
ST00000624    1.0255
ST00000635    0.2969
ST00000637    0.2840
ST00000655    1.7237
ST00000657    1.2254
ST00000669    2.5967
ST00000670    1.4508
ST00000673    0.4672
ST00000675    0.3818
ST00000677    0.3727
ST00000679    0.1719
ST00000680    0.6007
ST00000681    0.9939
ST00000683    0.2724
ST00000684    0.6606
ST00000687    0.0568
ST00000691    0.8685
ST00000693    1.5506
ST00000705    0.4179
ST00000713    0.8610
ST00000716    0.6482
ST00000725    1.2355
ST00000727    1.1034
ST00000728    1.4273
ST00000737    1.2753
ST00000738    1.5642
ST00000747    1.4471
ST00000751    2.6549
ST00000799    1.1481
ST00000804    1.3344
ST00000823    1.9009
ST00000831    1.5712
ST00000832    1.2810
ST00000845    1.2388
ST00000847    1.0419
ST00000875    2.3991
ST00000891    0.8740
ST00000892    1.0376
ST00000893    0.9022
ST00000900    1.3750
ST00000917    1.3495
ST00000918    1.8391
ST00000925    2.1376
ST00000926    1.7619
ST00000945    0.7634
ST00000946    0.6665
ST00000949    1.8218
ST00000955    0.7112
ST00001031    1.6545
ST00001032    1.6785
ST00001039    1.1925
ST00001042    1.6166
ST00001055    1.5678
ST00001070    0.9763
ST00001073    1.2544
ST00001083    1.8339
ST00001103    1.7914
ST00001118    1.4657
ST00001139    1.0885
ST00001140    1.6436
ST00001141    1.5633
ST00001144    1.8179
ST00001146    1.3644
ST00001208    1.9978
ST00001215    1.6959
ST00001218    1.5062
ST00001226    1.2769
ST00001238    1.0773
ST00001239    2.5374
ST00001257    2.4051
ST00001272    0.4323
ST00001282    0.3298
ST00001288    2.2092
ST00001303    0.3077
ST00001305    0.2578
ST00001307    -0.0323
ST00001324    2.0805
ST00001328    1.2165
ST00001347    1.4281
ST00001381    0.9654
ST00001404    0.9643
ST00001421    0.6642
ST00001443    0.6100
ST00001447    0.2942
ST00001449    0.6590
ST00001452    0.7808
ST00001458    0.3410
ST00001479    1.9216
ST00001536    1.6615
ST00001537    1.6296
ST00001538    1.4794
ST00001552    0.3449
ST00001556    0.3686
ST00001557    0.2849
ST00001577    1.2697
ST00001578    1.0137
ST00001580    0.9707
ST00001586    2.1832
ST00001590    1.5375
ST00001592    1.3591
ST00001612    0.9912
ST00001613    1.9078
ST00001633    2.9883
ST00001675    0.6608
ST00001717    2.4030
ST00001720    1.2646
ST00001743    0.3359
ST00001750    0.3552
ST00001759    2.1426
ST00001762    0.9457
ST00001770    0.9826
ST00001771    -0.1732
ST00001796    1.4827
ST00001818    0.3039
ST00001828    1.8950
ST00001830    1.3963
ST00001838    1.0477
ST00001908    0.3265
ST00001931    0.4480
ST00001964    0.3563
ST00001965    0.4262
ST00001968    0.3698
ST00001998    1.6779
ST00002001    0.3977
ST00002006    0.3797
ST00002011    2.6866
ST00002048    0.3994
ST00002049    0.3441
ST00002072    0.3207
ST00002118    0.4196
ST00002161    0.3304
ST00002168    0.3537
ST00002170    0.3445
ST00002173    0.3030
ST00002174    0.3862
ST00002197    0.4014
ST00002208    0.3911
ST00002213    0.3054
ST00002244    0.3630
ST00002349    0.3690
ST00002353    0.1079
ST00002357    0.3884
ST00002359    -0.0427
ST00002360    0.8943
ST00002361    1.1140
ST00002402    2.1904
ST00002406    1.3697
ST00002407    1.1984
ST00002408    1.4645
ST00002419    0.5603
ST00002420    0.7211
ST00002426    0.4277
ST00002430    0.3701
ST00002432    1.1247
ST00002433    1.6376
ST00002451    2.1983
ST00002452    1.6012
ST00002457    2.3027
ST00002486    2.9277
ST00002487    2.1946
ST00002497    2.0395
ST00002501    1.6364
ST00002506    1.5311
ST00002508    2.7452
ST00002553    2.2188
ST00002554    2.4581
ST00002603    1.1167
ST00002643    1.7656
ST00002663    0.9393
ST00002694    1.9952
ST00002695    1.1955
ST00002696    1.8604
ST00002698    0.8191
ST00002706    0.3668
ST00002708    0.3502
ST00002713    0.3146
ST00002791    4.9764
ST00002819    1.5588
ST00002820    1.7537
ST00002850    1.5675
ST00002854    2.6055
ST00002875    0.6062
ST00002894    0.1673
ST00002898    1.7923
ST00002899    1.5950
ST00002905    2.4812
ST00002906    1.9715
ST00002908    2.5739
ST00003058    0.4310
ST00003088    0.3894
ST00003104    2.8708
ST00003107    3.5410
ST00003160    1.5476
ST00003191    2.0892
ST00003193    -0.0596
ST00003194    -0.1152
ST00003245    2.3795
ST00003246    1.9503
ST00003264    1.5356
ST00003272    1.5212
ST00003288    1.9713
ST00003295    2.1865
ST00003302    2.6495
ST00003377    1.8910
ST00003435    1.2763
ST00003488    0.3365
ST00003492    1.1901
ST00003495    1.6019
ST00003508    1.4457
ST00003510    0.2275
ST00003515    0.3066
ST00003518    0.4265
ST00003524    0.4162
ST00003550    2.2183
ST00003551    2.3695
ST00003559    1.3635
ST00003566    1.2671
ST00003602    1.3669
ST00003615    1.2750
ST00003616    1.9147
ST00003617    1.0045
ST00003626    1.4653
ST00003637    0.3721
ST00003638    0.2842
ST00003642    0.3191
ST00003647    0.4224
ST00003655    2.2049
ST00003665    1.9305
ST00003666    1.3322
ST00003683    4.3325
ST00003702    1.5017
ST00003706    0.5917
ST00003708    2.0324
ST00003709    1.5939
ST00003710    1.4581
ST00003711    1.9174
ST00003713    2.5648
ST00003718    0.6199
ST00003720    0.8761
ST00003727    0.3419
ST00003730    0.3402
ST00003733    1.3470
ST00003734    0.3376
ST00003735    0.3721
ST00003859    0.4834
ST00003860    0.2432
ST00003864    0.9221
ST00003869    1.5603
ST00003872    1.9712
ST00003886    1.0825
ST00003920    1.3491
ST00003921    1.1903
ST00003939    0.1292
ST00003949    0.4095
ST00004020    2.6700
ST00004055    1.2097
ST00004059    0.9169
ST00004077    0.7215
ST00004078    1.5555
ST00004104    1.5558
ST00004110    0.9498
ST00004112    1.3352
ST00004117    2.1412
ST00004118    1.4048
ST00004123    2.7446
ST00004145    1.5508
ST00004191    5.2711
ST00004194    5.5224
ST00004264    0.3985
ST00004265    0.3411
ST00004281    0.2997
ST00004282    0.3001
ST00004284    0.4252
ST00004289    0.3811
ST00004294    0.3007
ST00004296    0.2889
ST00004310    0.4005
ST00004324    1.9259
ST00004325    1.9671
ST00004339    0.3100
ST00004352    0.4057
ST00004353    0.3069
ST00004359    3.3782
ST00004361    0.3231
ST00004363    0.3667
ST00004364    0.3471
ST00004365    0.3815
ST00004372    1.3411
ST00004373    1.7694
ST00004374    2.0127
ST00004377    1.6113
ST00004378    1.7437
ST00004397    0.3633
ST00004401    0.3473
ST00004407    0.3405
ST00004414    0.3433
